year,winner,loser,series
2020,LAN,TBA,4-2
2019,WAS,HOU,4-3
2018,BOS,LAN,4-1
2017,HOU,LAN,4-3
2016,CHN,CLE,4-3
2015,KCA,NYN,4-1
2014,SFN,KCA,4-3
2013,BOS,SLN,4-2
2012,SFN,DET,4-0
2011,SLN,TEX,4-3
2010,SFN,TEX,4-1
2009,NYA,PHI,4-2
2008,PHI,TBA,4-1
2007,BOS,COL,4-0
2006,SLN,DET,4-1
2005,CHA,HOU,4-0
2004,BOS,SLN,4-0
2003,FLO,NYA,4-2
2002,ANA,SFN,4-3
2001,ARI,NYA,4-3
2000,NYA,NYN,4-1
1999,NYA,ATL,4-0
1998,NYA,SDN,4-0
1997,FLO,CLE,4-3
1996,NYA,ATL,4-2
1995,ATL,CLE,4-2
1993,TOR,PHI,4-2
1992,TOR,ATL,4-2
1991,MIN,ATL,4-3
1990,CIN,OAK,4-0
1989,OAK,SFN,4-0
1988,LAN,OAK,4-1
1987,MIN,SLN,4-3
1986,NYN,BOS,4-3
1985,KCA,SLN,4-3
1984,DET,SDN,4-1
1983,BAL,PHI,4-1
1982,SLN,MIL,4-3
1981,LAN,NYA,4-2
1980,PHI,KCA,4-2
1979,PIT,BAL,4-3
1978,NYA,LAN,4-2
1977,NYA,LAN,4-2
1976,CIN,NYA,4-0
1975,CIN,BOS,4-3
1974,OAK,LAN,4-1
1973,OAK,NYN,4-3
1972,OAK,CIN,4-3
1971,PIT,BAL,4-3
1970,BAL,CIN,4-1
1969,NYN,BAL,4-1
1968,DET,SLN,4-3
1967,SLN,BOS,4-3
1966,BAL,LAN,4-0
1965,LAN,MIN,4-3
1964,SLN,NYA,4-3
1963,LAN,NYA,4-0
1962,NYA,SFN,4-3
1961,NYA,CIN,4-1
1960,PIT,NYA,4-3
1959,LAN,CHA,4-2
1958,NYA,ML1,4-3
1957,ML1,NYA,4-3
1956,NYA,BRO,4-3
1955,BRO,NYA,4-3
1954,NY1,CLE,4-0
1953,NYA,BRO,4-2
1952,NYA,BRO,4-3
1951,NYA,NY1,4-2
1950,NYA,PHI,4-0
1949,NYA,BRO,4-1
1948,CLE,BSN,4-2
1947,NYA,BRO,4-3
1946,SLN,BOS,4-3
1945,DET,CHN,4-3
1944,SLN,SL4,4-2
1943,NYA,SLN,4-1
1942,SLN,NYA,4-1
1941,NYA,BRO,4-1
1940,CIN,DET,4-3
1939,NYA,CIN,4-0
1938,NYA,CHN,4-0
1937,NYA,NY1,4-1
1936,NYA,NY1,4-2
1935,DET,CHN,4-2
1934,SLN,DET,4-3
1933,NY1,WAS,4-1
1932,NYA,CHN,4-0
1931,SLN,PH1,4-3
1930,PH1,SLN,4-2
1929,PH1,CHN,4-1
1928,NYA,SLN,4-0
1927,NYA,PIT,4-0
1926,SLN,NYA,4-3
1925,PIT,WAS,4-3
1924,WAS,NY1,4-3
1923,NYA,NY1,4-2
1922,NY1,NYA,4-0
1921,NY1,NYA,5-3
1920,CLE,BRO,5-2
1919,CIN,CHA,5-3
1918,BOS,CHN,4-2
1917,CHA,NY1,4-2
1916,BOS,BRO,4-1
1915,BOS,PHI,4-1
1914,BSN,PH1,4-0
1913,PH1,NY1,4-1
1912,BOS,NY1,4-3
1911,PH1,NY1,4-2
1910,PH1,CHN,4-1
1909,PIT,DET,4-3
1908,CHN,DET,4-1
1907,CHN,DET,4-0
1906,CHA,CHN,4-2
1905,NY1,PH1,4-1
1903,BOS,PIT,5-3
